RID,Weights,Segment,Brand,Buy Client's Brand,Average price pay for the yogurt most typically purchased,Price Paid Range,Price Mid-Point,Number of Units Purchased,Number of Units Purchased Groups,Where Typically Purchase Yogurt,Store where typically buy yogurt,How many times per week eat last yogurt purchased,Time of day eat yogurt: Before breakfast,Time of day eat yogurt: At breakfast,Time of day eat yogurt: Mid-morning,Time of day eat yogurt: At lunch,Time of day eat yogurt: Mid-afternoon,Time of day eat yogurt: At dinner,Time of day eat yogurt: After dinner/early evening,Time of day eat yogurt: Before going to bed,Breakfast,Lunch,Dinner,Snack,Banana,Blueberry,Boysenberry,Strawberry,Vanilla,Coffee,Raspberry,Price Importance,Brand Name Importance,Fat Content Importance,Calorie Content Importance,Diet Fad Importance,Organic Importance,Non-Dairy Importance,Flavor Importance,Creaminess Importance,Dietary Fiber Content Importance,Vitamin D Fortified Importance,Price Satisfied,Brand Name Satisfied,Fat Content Satisfied,Calorie Content Satisfied,Diet Fad Satisfied,Organic Satisfied,Non-Dairy Satisfied,Flavor Satisfied,Creaminess Satisfied,Dietary Fiber Satisfied,Vitamin D Fortified Satisfied,Satisfied,Recommand,Purchase Again,Gender,Age,Ethnicity,Education,Employment Status,Household Income,Descriptive Word,x
4604,100641.847,Dessert Lover,D,Not Buy,$1.15,$1.20 - $1.29,$1.25,7,Medium,Shopping Club,Convenience Store,6,No,No,Yes,No,No,No,No,No,0,0,0,0,No,Yes,No,No,Yes,No,Yes,Only somewhat unimportant,Extremely important,Neither important nor unimportant,Only somewhat important,Only somewhat important,Extremely unimportant,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Dissatisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,68 years old and over,Caucasian,Graduate or Professional Degree,Own your own business,"$60,000 - $74,999",Smooth,Female
4619,85635.4751,Dessert Lover,Major Competitor,Not Buy,$1.39,$1.30 - $1.39,$1.35,5,Low,National Health Food Store,Local Grocery Store,4,No,Yes,Yes,No,No,No,No,No,1,0,0,0,No,Yes,No,No,Yes,No,No,Only somewhat important,Extremely important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Will Definitely Recommand,Extremely Likely,Female,68 years old and over,African-American,Bachelors Degree,Stay at home husband/wife or mom/dad,"$60,000 - $74,999",Delicious,Female
4623,79107.0135,Dessert Lover,E,Not Buy,$1.23,$1.10 - $1.19,$1.15,6,Medium,Locally Owned Grocery Store,Retailer,1,Yes,No,No,No,No,No,Yes,No,0,0,0,1,No,Yes,Yes,Yes,No,No,Yes,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,,,,,,,,,,,,Very Satisfied,May Recommand,Neither Likely nor Unlikely,Male,61 to 67 years old,African-American,Some College (no degree),Employed as a mid-level manager,"$24,999 or less",Delicious,Male
4627,42817.7376,Normal Food Consumer,Major Competitor,Not Buy,$1.31,$1.40 - $1.49,$1.45,6,Medium,Shopping Club,Local Grocery Store,2,No,Yes,No,No,Yes,No,No,No,1,0,0,0,No,No,No,Yes,Yes,No,No,Only somewhat unimportant,Extremely important,Extremely unimportant,Only somewhat important,Neither important nor unimportant,Extremely unimportant,Extremely important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Extremely important,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Male,41 to 50 years old,African-American,Bachelors Degree,Employed as a mid-level manager,"$60,000 - $74,999",Tasty,Male
4628,79107.0135,Dessert Lover,Client,Buy,$1.14,$1.50 - $1.59,$1.55,8,Medium,Shopping Club,Warehouse Store,3,No,No,Yes,Yes,Yes,No,Yes,No,0,1,0,1,No,Yes,No,No,No,No,Yes,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Extremely important,Only somewhat important,Only somewhat unimportant,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,51 to 60 years old,African-American,Associate Degree,"Employed, but not at a management level","$75,000 - $99,999",Flavourful,Female
4631,115772.629,Normal Food Consumer,Client,Buy,$1.21,$1.10 - $1.19,$1.15,7,Medium,Shopping Club,Local Grocery Store,1,No,No,No,No,No,No,Yes,No,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes,Only somewhat important,Neither important nor unimportant,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat unimportant,Neither important nor unimportant,Only somewhat important,Extremely important,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Male,61 to 67 years old,African-American,Some College (no degree),Student,"$40,000 - $49,999",Tasty,Male
4646,79107.0135,Health-Conscious,Client,Buy,$1.19,$1.40 - $1.49,$1.45,7,Medium,National Grocery Chain Store,Retailer,4,Yes,Yes,No,Yes,No,No,No,No,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Extremely important,Only somewhat unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat unimportant,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Somewhat Dissatisfied,May Recommand,Extremely Likely,Female,61 to 67 years old,African-American,Some College (no degree),Employed as a mid-level manager,"$40,000 - $49,999",Smooth,Female
4650,23368.2958,Health-Conscious,C,Not Buy,$1.15,$1.70 or more,$1.75,7,Medium,Mass Discount Retailer,Local Grocery Store,5,No,Yes,Yes,No,No,No,Yes,No,1,0,0,1,No,Yes,Yes,Yes,No,No,Yes,Only somewhat important,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Extremely unimportant,Extremely important,Extremely important,Extremely important,Only somewhat important,Extremely important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,41 to 50 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$50,000 - $59,999",Tasty,Female
4653,94479.2278,Normal Food Consumer,E,Not Buy,$1.23,$1.10 - $1.19,$1.15,6,Medium,Mass Discount Retailer,Local Grocery Store,6,No,No,No,No,Yes,No,No,No,0,0,0,0,Yes,No,No,No,Yes,No,No,Only somewhat important,Only somewhat unimportant,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Extremely important,Extremely important,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,61 to 67 years old,African-American,Graduate or Professional Degree,Employed in upper-management,"$50,000 - $59,999",Delicious,Female
4658,178186.788,Health-Conscious,Client,Buy,$1.13,$1.10 - $1.19,$1.15,8,High,Mass Discount Retailer,Convenience Store,1,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1,1,1,1,No,Yes,No,No,No,Yes,Yes,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,61 to 67 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$25,000 - $39,999",Delicious,Female
4660,146241.999,Health Fanatic,D,Not Buy,$1.09,$1.70 or more,$1.75,7,Medium,Convenience Store,Retailer,5,No,Yes,Yes,Yes,No,No,No,No,1,1,0,0,Yes,No,Yes,No,Yes,No,No,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Only somewhat important,Extremely important,Extremely important,Extremely important,Only somewhat important,Extremely important,,,,,,,,,,,,Very Satisfied,May Not Recommand,Extremely Likely,Male,68 years old and over,Other,Some College (no degree),Student,"$60,000 - $74,999",Fulfilling,Male
4661,99004.5771,Dessert Lover,C,Not Buy,$1.17,$1.60 - $1.69,$1.65,8,Medium,Drug Store,Warehouse Store,3,No,Yes,Yes,No,No,No,No,No,1,0,0,0,No,No,Yes,No,No,No,Yes,Only somewhat unimportant,Only somewhat unimportant,Extremely important,Only somewhat important,Extremely unimportant,Extremely unimportant,Extremely important,Only somewhat important,Only somewhat important,Extremely unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Male,41 to 50 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$60,000 - $74,999",Delicious,Male
4670,99004.5771,Normal Food Consumer,Major Competitor,Not Buy,$1.13,$1.30 - $1.39,$1.35,8,High,National Grocery Chain Store,Local Grocery Store,7,No,No,Yes,No,No,No,No,No,0,0,0,0,No,No,Yes,No,No,No,No,Extremely unimportant,Extremely unimportant,Neither important nor unimportant,Extremely important,Extremely unimportant,Extremely unimportant,Only somewhat important,Extremely important,Extremely important,Extremely unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Somewhat Likely,Male,36 to 40 years old,African-American,Graduate or Professional Degree,Employed in upper-management,"$40,000 - $49,999",Tasty,Male
4672,94479.2278,Dessert Lover,G,Not Buy,$1.24,$1.20 - $1.29,$1.25,7,Medium,National Health Food Store,Warehouse Store,4,No,Yes,No,No,No,No,No,Yes,1,0,0,0,No,No,Yes,No,No,Yes,Yes,Extremely important,Extremely important,Only somewhat important,Extremely important,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,May Recommand,Somewhat Likely,Female,51 to 60 years old,African-American,Graduate or Professional Degree,Employed in upper-management,"$150,000 - $199,999",Tasty,Female
4673,79107.0135,Dessert Lover,Client,Buy,$1.46,$1.40 - $1.49,$1.45,5,Low,Shopping Club,Convenience Store,3,Yes,No,Yes,No,No,Yes,Yes,Yes,0,0,1,1,No,Yes,Yes,No,No,Yes,Yes,Extremely important,Only somewhat unimportant,Only somewhat unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat unimportant,Only somewhat unimportant,Only somewhat important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Neither Likely nor Unlikely,Male,41 to 50 years old,African-American,Some College (no degree),"Employed, but not at a management level","$50,000 - $59,999",Delicious,Male
4677,163224.233,Health Fanatic,C,Not Buy,$1.20,$1.70 or more,$1.75,6,Medium,National Grocery Chain Store,Warehouse Store,3,Yes,Yes,Yes,No,No,Yes,No,Yes,1,0,1,1,No,Yes,Yes,No,No,No,Yes,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Only somewhat unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Neither important nor unimportant,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Male,36 to 40 years old,African-American,High School Graduate or equivalent,Stay at home husband/wife or mom/dad,"$25,000 - $39,999",Smooth,Male
4682,72464.3038,Health-Conscious,C,Not Buy,$1.19,$1.20 - $1.29,$1.25,8,Medium,National Health Food Store,Local Grocery Store,7,Yes,Yes,No,Yes,Yes,No,No,No,1,1,0,1,No,Yes,No,No,No,No,Yes,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,May Recommand,Extremely Likely,Female,36 to 40 years old,African-American,High School Graduate or equivalent,"Employed, but not at a management level","$100,000 - $149,999",Smooth,Female
4708,96606.5719,Health Fanatic,Major Competitor,Not Buy,$1.33,$1.40 - $1.49,$1.45,5,Low,Locally Owned Grocery Store,Convenience Store,3,No,Yes,Yes,Yes,Yes,Yes,No,No,1,1,1,1,Yes,No,No,No,No,No,No,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Only somewhat important,Only somewhat unimportant,Extremely unimportant,Extremely important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Somewhat Unlikely,Female,18 to 35 years old,African-American,Associate Degree,"Employed, but not at a management level","$40,000 - $49,999",Delicious,Female
4714,21755.8173,Health Fanatic,D,Not Buy,$1.21,$1.40 - $1.49,$1.45,7,Medium,Convenience Store,Warehouse Store,1,No,No,Yes,Yes,No,No,No,No,0,1,0,0,Yes,No,Yes,No,No,Yes,Yes,Neither important nor unimportant,Only somewhat important,Only somewhat important,Extremely important,Only somewhat unimportant,Extremely unimportant,Only somewhat important,Extremely important,Only somewhat important,Only somewhat important,Extremely unimportant,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,May Recommand,Extremely Likely,Female,41 to 50 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$150,000 - $199,999",Smooth,Female
4722,72464.3038,Health-Conscious,C,Not Buy,$1.33,$1.00 - $1.09,$1.05,7,Medium,Mass Discount Retailer,Warehouse Store,1,No,Yes,No,Yes,No,Yes,No,No,1,1,1,0,No,Yes,No,Yes,No,No,Yes,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Only somewhat unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,36 to 40 years old,Asian,Graduate or Professional Degree,"Employed, but not at a management level","$25,000 - $39,999",Delicious,Female
4727,72464.3038,Health Fanatic,G,Not Buy,$1.39,$1.60 - $1.69,$1.65,5,Low,National Grocery Chain Store,Local Grocery Store,7,No,No,Yes,No,No,No,No,No,0,0,0,0,Yes,No,No,No,Yes,No,No,Extremely important,Extremely important,Only somewhat important,Extremely important,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Extremely important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Female,68 years old and over,African-American,Associate Degree,Employed as a mid-level manager,"$40,000 - $49,999",Tasty,Female
4737,131039.615,Health-Conscious,C,Not Buy,$1.30,$1.10 - $1.19,$1.15,7,Medium,National Health Food Store,Warehouse Store,2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,1,0,1,1,Yes,Yes,Yes,Yes,No,No,No,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Only somewhat important,Only somewhat important,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Will Definitely Recommand,Extremely Likely,Female,51 to 60 years old,Caucasian,Associate Degree,"Employed, but not at a management level","$60,000 - $74,999",Delicious,Female
4741,86545.695,Dessert Lover,C,Not Buy,$1.30,$1.70 or more,$1.75,5,Low,Shopping Club,Local Grocery Store,2,Yes,No,No,No,No,No,Yes,No,0,0,0,1,No,Yes,Yes,Yes,No,No,Yes,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Extremely Likely,Male,36 to 40 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$25,000 - $39,999",Flavourful,Male
4752,36232.1519,Dessert Lover,Major Competitor,Not Buy,$1.14,$1.70 or more,$1.75,8,Medium,Convenience Store,Warehouse Store,5,No,No,No,Yes,No,Yes,No,No,0,1,1,0,No,No,Yes,No,No,Yes,Yes,Only somewhat important,Extremely important,Only somewhat unimportant,Only somewhat important,Extremely important,Extremely important,Extremely important,Only somewhat important,Extremely important,Only somewhat unimportant,Extremely important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Somewhat Likely,Female,36 to 40 years old,African-American,Graduate or Professional Degree,Employed in upper-management,"$60,000 - $74,999",Tasty,Female
4763,46718.6528,Health-Conscious,Major Competitor,Not Buy,$1.07,$1.00 - $1.09,$1.05,8,Medium,Other,Convenience Store,3,No,No,No,No,No,No,No,Yes,0,0,0,0,No,Yes,Yes,Yes,No,No,Yes,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat unimportant,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Neither Likely nor Unlikely,Female,18 to 35 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$25,000 - $39,999",Smooth,Female
4772,140307.748,Dessert Lover,Major Competitor,Not Buy,$1.20,$1.00 - $1.09,$1.05,7,Medium,National Health Food Store,Retailer,5,No,Yes,Yes,No,No,No,No,No,1,0,0,0,No,Yes,Yes,Yes,No,Yes,Yes,Only somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Only somewhat important,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Neither Likely nor Unlikely,Male,51 to 60 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$75,000 - $99,999",Tasty,Male
4796,86545.695,Health-Conscious,Client,Buy,$1.07,$1.70 or more,$1.75,8,Medium,Shopping Club,Local Grocery Store,5,No,Yes,Yes,Yes,No,No,No,Yes,1,1,0,1,No,Yes,No,No,No,No,No,Only somewhat important,Only somewhat important,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,Only somewhat important,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,36 to 40 years old,African-American,Bachelors Degree,Employed in upper-management,"$40,000 - $49,999",Delicious,Female
4803,69890.0756,Dessert Lover,Client,Buy,$1.13,$1.00 - $1.09,$1.05,7,Medium,Other,Health Food Store,2,No,No,Yes,No,No,Yes,Yes,No,0,0,1,1,No,Yes,Yes,Yes,No,No,No,Extremely important,Extremely important,Extremely important,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Extremely important,Extremely important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Very Satisfied,May Recommand,Somewhat Likely,Female,18 to 35 years old,African-American,Graduate or Professional Degree,"Not employed, but currently looking","$40,000 - $49,999",Delicious,Female
4813,67010.9276,Dessert Lover,D,Not Buy,$1.15,$1.40 - $1.49,$1.45,7,Medium,Gas Station Store,Local Grocery Store,2,No,Yes,Yes,Yes,Yes,Yes,No,No,1,1,1,1,No,No,Yes,No,No,Yes,Yes,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Extremely unimportant,Extremely important,Only somewhat important,Extremely important,Only somewhat important,Extremely important,,,,,,,,,,,,Somewhat Dissatisfied,Neither Recommand nor Not Recommand,Neither Likely nor Unlikely,Male,36 to 40 years old,African-American,Some College (no degree),Stay at home husband/wife or mom/dad,"$50,000 - $59,999",Delicious,Male
4818,28392.6106,Dessert Lover,Major Competitor,Not Buy,$1.40,$1.40 - $1.49,$1.45,6,Medium,National Grocery Chain Store,Retailer,6,No,Yes,Yes,Yes,Yes,No,No,No,1,1,0,1,No,Yes,No,Yes,No,No,Yes,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Neither Likely nor Unlikely,Female,36 to 40 years old,Hispanic,Bachelors Degree,Employed in upper-management,"$200,000 or more",Flavourful,Female
4819,94479.2278,Health Fanatic,Client,Buy,$1.13,$1.20 - $1.29,$1.25,8,High,Shopping Club,Local Grocery Store,4,No,No,No,Yes,Yes,No,No,No,0,1,0,0,No,Yes,Yes,No,Yes,Yes,No,Extremely important,Only somewhat important,Only somewhat unimportant,Only somewhat important,Neither important nor unimportant,Only somewhat unimportant,Extremely unimportant,Neither important nor unimportant,Only somewhat important,Extremely important,Only somewhat important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Will Definitely Recommand,Extremely Likely,Female,18 to 35 years old,African-American,Some College (no degree),Student,"$75,000 - $99,999",Fulfilling,Female
4838,18760.5262,Health-Conscious,Client,Buy,$1.12,$1.00 - $1.09,$1.05,8,High,Mass Discount Retailer,Convenience Store,3,No,Yes,No,Yes,No,No,Yes,Yes,1,1,0,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Extremely important,Extremely important,Extremely important,Only somewhat important,Extremely important,Extremely important,Extremely important,Only somewhat important,Extremely important,Extremely important,Extremely important,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Female,61 to 67 years old,African-American,High School Graduate or equivalent,Employed as a mid-level manager,"$24,999 or less",Tasty,Female
4848,79107.0135,Dessert Lover,Major Competitor,Not Buy,$1.49,$1.70 or more,$1.75,4,Low,Shopping Club,Convenience Store,6,No,Yes,No,No,No,No,No,No,1,0,0,0,No,No,Yes,Yes,No,Yes,Yes,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,68 years old and over,African-American,High School Graduate or equivalent,"Not employed, but currently looking","$50,000 - $59,999",Tasty,Female
4849,15553.2726,Health-Conscious,Client,Buy,$1.08,$1.30 - $1.39,$1.35,8,High,Locally Owned Grocery Store,Convenience Store,9,No,No,Yes,Yes,No,No,Yes,No,0,1,0,1,No,No,Yes,Yes,No,Yes,Yes,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,51 to 60 years old,African-American,Graduate or Professional Degree,Employed in upper-management,"$50,000 - $59,999",Flavourful,Female
4850,129280.738,Dessert Lover,E,Not Buy,$1.15,$1.00 - $1.09,$1.05,10,High,Convenience Store,Warehouse Store,7,Yes,Yes,No,No,No,No,Yes,Yes,1,0,0,1,No,Yes,No,Yes,Yes,No,No,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Somewhat Likely,Female,36 to 40 years old,African-American,Some College (no degree),"Employed, but not at a management level","$50,000 - $59,999",Delicious,Female
4851,26836.2691,Health Fanatic,Client,Buy,$1.17,$1.20 - $1.29,$1.25,7,Medium,National Grocery Chain Store,Convenience Store,3,No,No,Yes,Yes,No,No,No,No,0,1,0,0,No,Yes,Yes,No,Yes,Yes,Yes,Extremely unimportant,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat important,Only somewhat important,Extremely important,Extremely unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Somewhat Likely,Female,36 to 40 years old,Caucasian,Some College (no degree),"Other, please specify:","$60,000 - $74,999",Flavourful,Female
4852,150026.688,Health-Conscious,Client,Buy,$1.35,$1.00 - $1.09,$1.05,7,Medium,National Grocery Chain Store,Convenience Store,4,Yes,Yes,Yes,No,No,No,No,No,1,0,0,1,Yes,Yes,No,No,No,No,Yes,Extremely important,Extremely important,Extremely important,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,36 to 40 years old,African-American,Associate Degree,Stay at home husband/wife or mom/dad,"$75,000 - $99,999",Tasty,Female
4853,86545.695,Dessert Lover,Client,Buy,$1.17,$1.70 or more,$1.75,7,Medium,National Grocery Chain Store,Convenience Store,4,Yes,Yes,No,No,No,Yes,No,Yes,1,0,1,1,No,No,No,Yes,Yes,No,Yes,Only somewhat important,Only somewhat important,Only somewhat unimportant,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Male,68 years old and over,Asian,Bachelors Degree,"Employed, but not at a management level","$25,000 - $39,999",Delicious,Male
4855,112109.23,Normal Food Consumer,D,Not Buy,$1.39,$1.10 - $1.19,$1.15,5,Low,National Grocery Chain Store,Local Grocery Store,6,Yes,Yes,Yes,No,No,Yes,No,No,1,0,1,1,No,No,Yes,Yes,No,No,Yes,Extremely important,Only somewhat unimportant,Extremely important,Extremely important,Extremely unimportant,Extremely unimportant,Only somewhat important,Extremely important,Only somewhat important,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Male,51 to 60 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$40,000 - $49,999",Tasty,Male
4856,79107.0135,Health Fanatic,Client,Buy,$1.20,$1.50 - $1.59,$1.55,7,Medium,Shopping Club,Warehouse Store,6,Yes,Yes,Yes,Yes,No,No,No,No,1,1,0,1,No,No,Yes,Yes,No,Yes,Yes,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,68 years old and over,Hispanic,High School Graduate or equivalent,"Employed, but not at a management level","$40,000 - $49,999",Tasty,Female
4857,114042.835,Health Fanatic,C,Not Buy,$1.17,$1.10 - $1.19,$1.15,7,Medium,Mass Discount Retailer,Convenience Store,5,Yes,Yes,Yes,Yes,No,No,No,Yes,1,1,0,1,Yes,Yes,Yes,No,Yes,No,No,Extremely unimportant,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Extremely unimportant,Extremely unimportant,Extremely important,Extremely important,Extremely important,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,May Not Recommand,Extremely Likely,Female,41 to 50 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$60,000 - $74,999",Delicious,Female
4870,149194.961,Dessert Lover,G,Not Buy,$1.18,$1.50 - $1.59,$1.55,9,High,Convenience Store,Local Grocery Store,3,No,No,No,No,No,Yes,Yes,No,0,0,1,0,No,Yes,Yes,No,No,No,No,Extremely unimportant,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,Extremely unimportant,Extremely important,Extremely important,Extremely important,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Neither Likely nor Unlikely,Male,36 to 40 years old,African-American,Bachelors Degree,Employed as a mid-level manager,"$40,000 - $49,999",Variety,Male
4876,79107.0135,Dessert Lover,Major Competitor,Not Buy,$1.10,$1.30 - $1.39,$1.35,6,Medium,National Grocery Chain Store,Convenience Store,1,No,Yes,No,No,No,No,No,Yes,1,0,0,0,No,No,Yes,Yes,No,No,Yes,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Somewhat Unlikely,Female,41 to 50 years old,African-American,Associate Degree,"Employed, but not at a management level","$40,000 - $49,999",Smooth,Female
